10		10		10		10		10		10		10		10		10		10		10		10		10		10	
Nadine SEC Superose 6001:10_UV1_280nm		Nadine SEC Superose 6001:10_UV2_360nm		Nadine SEC Superose 6001:10_UV3_410nm		Nadine SEC Superose 6001:10_Cond		Nadine SEC Superose 6001:10_Cond%		Nadine SEC Superose 6001:10_Conc		Nadine SEC Superose 6001:10_pH		Nadine SEC Superose 6001:10_Pressure		Nadine SEC Superose 6001:10_Flow		Nadine SEC Superose 6001:10_Temp		Nadine SEC Superose 6001:10_Fractions		Nadine SEC Superose 6001:10_Inject		Nadine SEC Superose 6001:10_UV1_280nm@01,BASEM		Nadine SEC Superose 6001:10_Logbook	
min	UV1_280nm	min	UV22_360nm	min	UV3_410nm	min	 mS/cm	min	 %	min	 %B	min	 	min	 MPa	min	 ml/min	min	 °C	min	(Fractions)	min	(Injections)	min	 mAU	min	(Set Marks)
5.37	6.32	5.37	329.28	5.37	318.45	5.68	2.53	5.68	2.5	5.68	0	5.68	7.9	5.68	0	5.68	0.02	6.2	28.5	78.72	32			5.37	-0.95	-0.03	Gradient      0.0 %B,    0.000 CV
5.55	5.79	5.55	329.05	5.55	318.28	5.87	2.53	5.87	2.5	5.87	0	5.87	7.9	5.87	0	5.87	0.02	6.4	28.5	81.22	33			5.55	-0.95	-0.03	End Block
5.72	5.35	5.72	328.73	5.72	318.03	6.05	2.53	6.05	2.5	6.05	0	6.05	7.9	6.05	0	6.05	0.02	6.6	28.5	83.71	34			5.72	-0.95	-0.03	Block Column_Equilibration
5.89	4.94	5.89	328.58	5.89	317.9	6.23	2.53	6.23	2.5	6.23	0	6.23	7.9	6.23	0	6.23	0.02	6.8	28.5	86.21	35			5.89	-0.95	-0.03	Base SameAsMain
6.07	4.65	6.07	328.45	6.07	317.74	6.42	2.53	6.42	2.5	6.42	0	6.42	7.9	6.42	0	6.42	0.02	7	28.5	88.71	36			6.07	-0.95	-0.03	End Block
6.24	4.34	6.24	328.28	6.24	317.6	6.6	2.53	6.6	2.5	6.6	0	6.6	7.9	6.6	0	6.6	0.02	7.2	28.5	91.2	37			6.24	-0.95	-0.03	Block AutoZero_UV
6.41	4.08	6.41	328.18	6.41	317.58	6.78	2.53	6.78	2.5	6.78	0	6.78	7.89	6.78	0	6.78	0.02	7.4	28.5	93.7	38			6.41	-0.95	-0.03	Base SameAsMain
6.59	3.8	6.59	328.05	6.59	317.44	6.97	2.53	6.97	2.5	6.97	0	6.97	7.89	6.97	0	6.97	0.02	7.6	28.5	96.2	39			6.59	-0.95	-0.03	Watch_Off UV1
6.76	3.54	6.76	327.97	6.76	317.37	7.15	2.53	7.15	2.5	7.15	0	7.15	7.9	7.15	0	7.15	0.02	7.8	28.5	98.69	40			6.76	-0.95	-0.03	AutoZeroUV 
6.93	3.34	6.93	327.83	6.93	317.3	7.33	2.53	7.33	2.5	7.33	0	7.33	7.9	7.33	0	7.33	0.02	8	28.5	101.19	41			6.93	-0.95	-0.03	End Block
