10		10		10		10		10		10		10		10		10		10		10		10		10	
Nadine SEC Superose 6001:10_UV1_280nm	mAU	Nadine SEC Superose 6001:10_UV2_360nm	mAU	Nadine SEC Superose 6001:10_UV3_410nm	mAU	Nadine SEC Superose 6001:10_Cond		Nadine SEC Superose 6001:10_Cond%		Nadine SEC Superose 6001:10_Conc		Nadine SEC Superose 6001:10_pH		Nadine SEC Superose 6001:10_Pressure		Nadine SEC Superose 6001:10_Flow		Nadine SEC Superose 6001:10_Temp		Nadine SEC Superose 6001:10_Fractions		Nadine SEC Superose 6001:10_Inject		Nadine SEC Superose 6001:10_Logbook	
ml	280 nm	ml	360 nm	ml	410 nm	ml	 mS/cm	ml	 %	ml	 %B	ml	 	ml	 MPa	ml	 ml/min	ml	 °C	ml	(Fractions)	ml	(Injections)	ml	(Set Marks)
0.3	0.89	0.3	326.71	0.3	316.33	0.3	13.81	0.3	13.8	0.3	0	0.3	7.64	0.3	0	0.3	0.02	0.35	30.8					0.41	Continue 8/3/2021, 2:22:36 PM (Manual)
0.31	0.91	0.31	326.76	0.31	316.38	0.3	13.81	0.3	13.8	0.3	0	0.3	7.64	0.3	0	0.3	0.02	0.35	30.8					0.42	Pause 8/3/2021, 2:23:18 PM (Manual)
0.31	0.93	0.31	326.81	0.31	316.43	0.31	13.81	0.31	13.8	0.31	0	0.31	7.64	0.31	0	0.31	0.02	0.36	30.8					0.42	Flow    0.000 ml/min (Manual)
0.31	0.91	0.31	326.78	0.31	316.43	0.31	13.81	0.31	13.8	0.31	0	0.31	7.64	0.31	0	0.31	0.02	0.36	30.8					0.42	Flow    0.000 ml/min (Manual)
0.32	0.88	0.32	326.73	0.32	316.41	0.32	13.81	0.32	13.8	0.32	0	0.32	7.64	0.32	0	0.32	0.02	0.37	30.8					0.42	Flow    0.020 ml/min (Manual)
0.32	0.86	0.32	326.7	0.32	316.39	0.32	13.81	0.32	13.8	0.32	0	0.32	7.64	0.32	0	0.32	0.02	0.37	30.8					0.42	Fractionation_900    0.100 ml (Manual)
0.33	0.87	0.33	326.72	0.33	316.36	0.33	13.81	0.33	13.8	0.33	0	0.33	7.64	0.33	0	0.33	0.02	0.38	30.8					0.42	Continue 8/3/2021, 2:24:27 PM (Manual)
0.33	0.88	0.33	326.73	0.33	316.33	0.33	13.81	0.33	13.8	0.33	0	0.33	7.64	0.33	0	0.33	0.02	0.38	30.8					2.95	Fractionation_Stop_900  (Manual)
0.33	0.88	0.33	326.72	0.33	316.32	0.33	13.81	0.33	13.8	0.33	0	0.33	7.64	0.33	0	0.33	0.02	0.39	30.8					3.66	End Block
0.34	0.87	0.34	326.71	0.34	316.32	0.34	13.81	0.34	13.8	0.34	0	0.34	7.64	0.34	0	0.34	0.02	0.39	30.8					3.66	End Block
0.34	0.88	0.34	326.72	0.34	316.34	0.34	13.81	0.34	13.8	0.34	0	0.34	7.64	0.34	0	0.34	0.02	0.4	30.9					3.66	Block Fractionation_Stop
0.35	0.89	0.35	326.77	0.35	316.4	0.35	13.81	0.35	13.8	0.35	0	0.35	7.64	0.35	0	0.35	0.02	0.4	31					3.66	Base SameAsMain
0.35	0.9	0.35	326.83	0.35	316.46	0.35	13.81	0.35	13.8	0.35	0	0.35	7.64	0.35	0	0.35	0.02	0.41	31					3.66	Fractionation_Stop_900 
0.35	0.9	0.35	326.81	0.35	316.4	0.35	13.81	0.35	13.8	0.35	0	0.35	7.64	0.35	0	0.35	0.02	0.41	31					3.66	Peak_FracStop_900 
0.36	0.9	0.36	326.77	0.36	316.32	0.36	13.81	0.36	13.8	0.36	0	0.36	7.64	0.36	0	0.36	0.02	0.42	31.1					3.66	End Block
0.36	0.91	0.36	326.75	0.36	316.27	0.36	13.81	0.36	13.8	0.36	0	0.36	7.64	0.36	0	0.36	0.02	0.42	31.1						
0.37	0.91	0.37	326.74	0.37	316.3	0.37	13.81	0.37	13.8	0.37	0	0.37	7.64	0.37	0	0.37	0.02	0.42	31.1						
0.37	0.92	0.37	326.74	0.37	316.32	0.37	13.81	0.37	13.8	0.37	0	0.37	7.64	0.37	0	0.37	0.02	0.43	31.1						
0.37	0.91	0.37	326.71	0.37	316.32	0.37	13.81	0.37	13.8	0.37	0	0.37	7.64	0.37	0	0.37	0.02	0.43	31.1						
0.38	0.9	0.38	326.69	0.38	316.32	0.38	13.81	0.38	13.8	0.38	0	0.38	7.64	0.38	0	0.38	0.02	0.44	31.1						
0.38	0.9	0.38	326.69	0.38	316.32	0.38	13.81	0.38	13.8	0.38	0	0.38	7.64	0.38	0	0.38	0.02	0.44	31.1						
0.39	0.91	0.39	326.72	0.39	316.33	0.39	13.81	0.39	13.8	0.39	0	0.39	7.64	0.39	0	0.39	0.02	0.45	31.1						
0.39	0.92	0.39	326.74	0.39	316.34	0.39	13.81	0.39	13.8	0.39	0	0.39	7.64	0.39	0	0.39	0.02	0.45	31.1						
0.39	0.74	0.39	326.62	0.39	316.21	0.39	13.81	0.39	13.8	0.39	0	0.39	7.64	0.39	0	0.39	0.02	0.46	31.1						
0.4	0.54	0.4	326.47	0.4	316.07	0.4	13.81	0.4	13.8	0.4	0	0.4	7.64	0.4	0	0.4	0.02	0.46	31.1						
0.4	0.55	0.4	326.47	0.4	316.07	0.4	13.8	0.4	13.8	0.4	0	0.4	7.64	0.4	0	0.4	0.02	0.47	31.1						
0.41	0.92	0.41	326.68	0.41	316.29	0.41	13.8	0.41	13.8	0.41	0	0.41	7.64	0.41	0	0.41	0.02	0.47	31.1						
0.41	1.29	0.41	326.9	0.41	316.52	0.41	13.8	0.41	13.8	0.41	0	0.41	7.64	0.41	0	0.41	0.02	0.48	31.1						
0.41	2.75	0.41	327.7	0.41	317.1	0.41	13.8	0.41	13.8	0.41	0	0.41	7.64	0.41	0	0.41	0.02	0.48	31.1						
0.42	4.33	0.42	328.56	0.42	317.72	0.42	13.8	0.42	13.8	0.42	0	0.42	7.64	0.42	0	0.42	0.02	0.49	31.1						
0.42	5.27	0.42	329.08	0.42	318.12	0.42	13.8	0.42	13.8	0.42	0	0.42	7.64	0.42	0	0.42	0.02	0.49	31.1						
0.43	5.23	0.43	329.08	0.43	318.21	0.43	13.8	0.43	13.8	0.43	0	0.43	7.64	0.43	0	0.43	0.02	0.49	31.1						
0.43	5.2	0.43	329.09	0.43	318.29	0.43	13.8	0.43	13.8	0.43	0	0.43	7.64	0.43	0	0.43	0.02	0.5	31.1						
0.43	5.4	0.43	329.17	0.43	318.29	0.43	13.8	0.43	13.8	0.43	0	0.43	7.64	0.43	0	0.43	0.02	0.5	31.1						
0.44	5.63	0.44	329.25	0.44	318.27	0.44	13.8	0.44	13.8	0.44	0	0.44	7.64	0.44	0	0.44	0.02	0.51	31.1						
0.44	5.58	0.44	329.2	0.44	318.19	0.44	13.8	0.44	13.8	0.44	0	0.44	7.64	0.44	0	0.44	0.02	0.51	31.1						
0.45	5.14	0.45	328.94	0.45	318	0.45	13.8	0.45	13.8	0.45	0	0.45	7.64	0.45	0	0.45	0.02	0.52	31.1						
0.45	4.71	0.45	328.69	0.45	317.82	0.45	13.8	0.45	13.8	0.45	0	0.45	7.64	0.45	0	0.45	0.02	0.52	31.1						
0.45	4.44	0.45	328.55	0.45	317.71	0.45	13.8	0.45	13.8	0.45	0	0.45	7.64	0.45	0	0.45	0.02	0.53	31.1						
0.46	4.19	0.46	328.41	0.46	317.61	0.46	13.8	0.46	13.8	0.46	0	0.46	7.64	0.46	0	0.46	0.02	0.53	31.1						
0.46	4	0.46	328.32	0.46	317.53	0.46	13.8	0.46	13.8	0.46	0	0.46	7.64	0.46	0	0.46	0.02	0.54	31.1						
0.47	3.9	0.47	328.27	0.47	317.47	0.47	13.8	0.47	13.8	0.47	0	0.47	7.64	0.47	0	0.47	0.02	0.54	31.1						
0.47	3.79	0.47	328.22	0.47	317.42	0.47	13.8	0.47	13.8	0.47	0	0.47	7.64	0.47	0	0.47	0.02	0.55	31.1						
0.47	3.65	0.47	328.17	0.47	317.34	0.47	13.8	0.47	13.8	0.47	0	0.47	7.64	0.47	0	0.47	0.02	0.55	31.1						
0.48	3.51	0.48	328.11	0.48	317.27	0.48	13.8	0.48	13.8	0.48	0	0.48	7.64	0.48	0	0.48	0.02	0.56	31.2						
0.48	3.38	0.48	328.04	0.48	317.22	0.48	13.8	0.48	13.8	0.48	0	0.48	7.64	0.48	0	0.48	0.02	0.56	31.2						
0.49	3.29	0.49	327.97	0.49	317.2	0.49	13.8	0.49	13.8	0.49	0	0.49	7.64	0.49	0	0.49	0.02	0.56	31.2						
0.49	3.19	0.49	327.9	0.49	317.18	0.49	13.8	0.49	13.8	0.49	0	0.49	7.64	0.49	0	0.49	0.02	0.57	31.2						
0.49	3.08	0.49	327.87	0.49	317.12	0.49	13.8	0.49	13.8	0.49	0	0.49	7.64	0.49	0	0.49	0.02	0.57	31.2						
0.5	2.97	0.5	327.85	0.5	317.07	0.5	13.8	0.5	13.8	0.5	0	0.5	7.64	0.5	0	0.5	0.02	0.58	31.2						
0.5	2.91	0.5	327.83	0.5	317.07	0.5	13.8	0.5	13.8	0.5	0	0.5	7.64	0.5	0	0.5	0.02	0.58	31.2						
0.51	2.89	0.51	327.84	0.51	317.12	0.51	13.8	0.51	13.8	0.51	0	0.51	7.64	0.51	0	0.51	0.02	0.59	31.2						
0.51	2.87	0.51	327.84	0.51	317.17	0.51	13.8	0.51	13.8	0.51	0	0.51	7.64	0.51	0	0.51	0.02	0.59	31.2						
0.51	2.77	0.51	327.74	0.51	317.06	0.51	13.8	0.51	13.8	0.51	0	0.51	7.64	0.51	0	0.51	0.02	0.6	31.2						
0.52	2.66	0.52	327.64	0.52	316.95	0.52	13.8	0.52	13.8	0.52	0	0.52	7.64	0.52	0	0.52	0.02	0.6	31.2						
0.52	2.56	0.52	327.56	0.52	316.88	0.52	13.8	0.52	13.8	0.52	0	0.52	7.64	0.52	0	0.52	0.02	0.61	31.2						
0.53	2.48	0.53	327.53	0.53	316.84	0.53	13.8	0.53	13.8	0.53	0	0.53	7.64	0.53	0	0.53	0.02	0.61	31.2						
0.53	2.4	0.53	327.49	0.53	316.8	0.53	13.8	0.53	13.8	0.53	0	0.53	7.64	0.53	0	0.53	0.02	0.62	31.2						
0.53	2.4	0.53	327.52	0.53	316.82	0.53	13.8	0.53	13.8	0.53	0	0.53	7.64	0.53	0	0.53	0.02	0.62	31.2						
0.54	2.4	0.54	327.55	0.54	316.84	0.54	13.8	0.54	13.8	0.54	0	0.54	7.64	0.54	0	0.54	0.02	0.63	31.2						
0.54	2.4	0.54	327.56	0.54	316.88	0.54	13.8	0.54	13.8	0.54	0	0.54	7.64	0.54	0	0.54	0.02	0.63	31.2						
0.55	2.39	0.55	327.57	0.55	316.94	0.55	13.8	0.55	13.8	0.55	0	0.55	7.64	0.55	0	0.55	0.02	0.63	31.2						
0.55	2.38	0.55	327.57	0.55	316.99	0.55	13.8	0.55	13.8	0.55	0	0.55	7.64	0.55	0	0.55	0.02	0.64	31.2						
0.55	2.31	0.55	327.48	0.55	316.88	0.55	13.8	0.55	13.8	0.55	0	0.55	7.64	0.55	0	0.55	0.02	0.64	31.2						
0.56	2.25	0.56	327.4	0.56	316.77	0.56	13.8	0.56	13.8	0.56	0	0.56	7.64	0.56	0	0.56	0.02	0.65	31.2						
0.56	2.19	0.56	327.35	0.56	316.71	0.56	13.8	0.56	13.8	0.56	0	0.56	7.64	0.56	0	0.56	0.02	0.65	31.2						
0.57	2.12	0.57	327.34	0.57	316.68	0.57	13.8	0.57	13.8	0.57	0	0.57	7.64	0.57	0	0.57	0.02	0.66	31.2						
0.57	2.06	0.57	327.32	0.57	316.66	0.57	13.8	0.57	13.8	0.57	0	0.57	7.64	0.57	0	0.57	0.02	0.66	31.2						
0.57	2.03	0.57	327.32	0.57	316.65	0.57	13.8	0.57	13.8	0.57	0	0.57	7.64	0.57	0	0.57	0.02	0.67	31.2						
0.58	2	0.58	327.32	0.58	316.65	0.58	13.8	0.58	13.8	0.58	0	0.58	7.64	0.58	0	0.58	0.02	0.67	31.2						
0.58	2	0.58	327.33	0.58	316.68	0.58	13.8	0.58	13.8	0.58	0	0.58	7.64	0.58	0	0.58	0.02	0.68	31.2						
