10;;10;;10;;10;;10;;10;;10;;10;;10;;10;;10;;10;;10;;10;
Nadine SEC Superose 6001:10_UV1_280nm;;Nadine SEC Superose 6001:10_UV2_360nm;;Nadine SEC Superose 6001:10_UV3_410nm;;Nadine SEC Superose 6001:10_Cond;;Nadine SEC Superose 6001:10_Cond%;;Nadine SEC Superose 6001:10_Conc;;Nadine SEC Superose 6001:10_pH;;Nadine SEC Superose 6001:10_Pressure;;Nadine SEC Superose 6001:10_Flow;;Nadine SEC Superose 6001:10_Temp;;Nadine SEC Superose 6001:10_Fractions;;Nadine SEC Superose 6001:10_Inject;;Nadine SEC Superose 6001:10_UV1_280nm@01,BASEM;;Nadine SEC Superose 6001:10_Logbook;
min;UV1_280nm;min;UV2_360nm;min;UV3_410nm;min; mS/cm;min; %;min; %B;min; ;min; MPa;min; ml/min;min; °C;min;(Fractions);min;(Injections);min; mAU;min;(Set Marks)
4.64;6.16;4.64;336.31;4.64;322.40;4.83;2.77;4.83;2.80;4.83;0.00;4.83;7.87;4.83;0.12;4.83;0.02;4.83;28.30;73.62;30;;;4.64;-3.42;-0.03;Block Start_Conc_B
4.80;5.64;4.80;335.92;4.80;322.09;5.00;2.79;5.00;2.80;5.00;0.00;5.00;7.87;5.00;0.12;5.00;0.02;5.00;28.30;76.12;31;;;4.80;-3.42;-0.03;Base SameAsMain
4.96;5.12;4.96;335.74;4.96;321.96;5.17;2.79;5.17;2.80;5.17;0.00;5.17;7.87;5.17;0.12;5.17;0.02;5.17;28.30;78.61;32;;;4.96;-3.42;-0.03;Gradient      0.0 %B,    0.000 CV
5.12;4.67;5.12;335.65;5.12;321.71;5.33;2.78;5.33;2.80;5.33;0.00;5.33;7.87;5.33;0.13;5.33;0.02;5.33;28.30;81.11;33;;;5.12;-3.42;-0.03;End Block
5.28;4.24;5.28;335.38;5.28;321.64;5.50;2.75;5.50;2.80;5.50;0.00;5.50;7.87;5.50;0.13;5.50;0.02;5.50;28.30;83.61;34;;;5.28;-3.42;-0.03;Block Column_Equilibration
5.44;3.93;5.44;335.15;5.44;321.49;5.67;2.72;5.67;2.70;5.67;0.00;5.67;7.88;5.67;0.13;5.67;0.02;5.67;28.30;86.10;35;;;5.44;-3.42;-0.03;Base SameAsMain
5.60;3.67;5.60;335.09;5.60;321.34;5.83;2.69;5.83;2.70;5.83;0.00;5.83;7.87;5.83;0.11;5.83;0.02;5.83;28.30;88.60;36;;;5.60;-3.43;-0.03;End Block
5.76;3.26;5.76;334.90;5.76;321.21;6.00;2.66;6.00;2.70;6.00;0.00;6.00;7.87;6.00;0.12;6.00;0.02;6.00;28.30;91.09;37;;;5.76;-3.43;-0.03;Block AutoZero_UV
5.92;3.04;5.92;334.82;5.92;321.14;6.17;2.64;6.17;2.60;6.17;0.00;6.17;7.88;6.17;0.11;6.17;0.02;6.17;28.30;93.59;38;;;5.92;-3.43;-0.03;Base SameAsMain
6.08;2.78;6.08;334.80;6.08;321.15;6.33;2.63;6.33;2.60;6.33;0.00;6.33;7.88;6.33;0.12;6.33;0.02;6.33;28.30;96.09;39;;;6.08;-3.43;-0.03;Watch_Off UV1
6.24;2.63;6.24;334.57;6.24;321.10;6.50;2.62;6.50;2.60;6.50;0.00;6.50;7.88;6.50;0.12;6.50;0.02;6.50;28.30;98.58;40;;;6.24;-3.43;-0.03;AutoZeroUV 
6.40;2.32;6.40;334.53;6.40;320.89;6.67;2.61;6.67;2.60;6.67;0.00;6.67;7.87;6.67;0.13;6.67;0.02;6.67;28.30;101.08;41;;;6.40;-3.42;-0.03;End Block
6.56;2.15;6.56;334.49;6.56;320.90;6.83;2.61;6.83;2.60;6.83;0.00;6.83;7.87;6.83;0.14;6.83;0.02;6.83;28.30;103.58;42;;;6.56;-3.42;-0.03;Block Aut_PressureFlow_Regulation
